datetime,stock,exchange,quantity,price,notional,bid,ask,condition
2021-04-01 14:56:14,191.45,Dark Pool,1500,193.3,"$289,950",193.11,193.49,
2021-04-01 15:05:02,191.45,Dark Pool,1500,193.255,"$289,882",193.14,193.37,
2021-04-01 15:06:34,191.45,Dark Pool,1400,193.21,"$270,494",193.01,193.46,
2021-04-01 15:07:14,191.45,NYSE,1753,193.2,"$338,680",192.9,193.47,
2021-04-01 15:08:35,191.45,Dark Pool,2567,193.47,"$496,637",193.27,193.49,
2021-04-01 15:11:56,191.45,ARCA,1514,191.99,"$290,673",191.99,192.38,Sweep
2021-04-01 15:15:28,191.45,Dark Pool,1500,192.72,"$289,080",192.49,192.95,
2021-04-01 15:15:45,191.45,Dark Pool,2898,192.3,"$557,285",192.3,192.85,
2021-04-01 15:16:10,191.45,Dark Pool,1100,192.76,"$212,036",192.76,193.17,
2021-04-01 15:16:33,191.45,Dark Pool,1500,192.825,"$289,238",192.5,193.15,
2021-04-01 15:22:00,191.45,Dark Pool,1071,193.5,"$207,238",193.2,193.5,
2021-04-01 15:24:49,191.45,Dark Pool,1400,192.5,"$269,500",192.27,192.63,
2021-04-01 15:25:00,191.45,EDGX,1388,193,"$267,884",192.75,193,
2021-04-01 15:35:25,191.45,Dark Pool,2500,192.526,"$481,315",192.3,192.8,
2021-04-01 15:36:52,191.45,EDGX,1361,192.25,"$261,652",192.25,192.45,
2021-04-01 15:36:52,191.45,NASDAQ,1831,192.25,"$352,010",192.22,192.45,
2021-04-01 15:36:52,191.45,Dark Pool,2400,192.15,"$461,160",192.12,192.45,
2021-04-01 15:36:59,191.45,NYSE,1761,192,"$338,112",192,192.34,
2021-04-01 15:36:59,191.45,ARCA,1418,191.64,"$271,746",191.64,191.91,
2021-04-01 15:37:00,191.45,ARCA,5100,191.64,"$977,364",191.64,192.06,Sweep
2021-04-01 15:37:00,191.45,ARCA,4952,191.64,"$949,001",191.64,192.06,
2021-04-01 15:37:02,191.45,Dark Pool,1400,191.385,"$267,939",191.37,192.04,
2021-04-01 15:37:08,191.45,Dark Pool,1300,191.765,"$249,294",191.49,192.04,
2021-04-01 15:37:18,191.45,NYSE,1623,191,"$309,993",191,191.69,Sweep
2021-04-01 15:37:18,191.45,BSE,1264,190.01,"$240,173",190,190.48,Sweep
2021-04-01 15:37:18,191.45,NYSE,2281,190,"$433,390",190,190.48,Sweep
2021-04-01 15:37:18,191.45,IEX,1900,189.94,"$360,886",189.78,189.94,
2021-04-01 15:38:08,191.45,Dark Pool,3000,188.799,"$566,397",188.79,189.73,
2021-04-01 15:40:52,191.45,Dark Pool,1066,188.4,"$200,834",188.34,188.8,
2021-04-01 15:42:27,191.45,EDGX,1834,189,"$346,626",188.69,189,Sweep
2021-04-01 15:50:35,191.45,Dark Pool,1057,190,"$200,830",189.86,190.16,
2021-04-01 15:52:49,191.45,NYSE,1973,190.38,"$375,620",190.26,190.4,
2021-04-01 15:52:58,191.45,NYSE,1960,190.48,"$373,341",190.39,190.55,
2021-04-01 15:53:42,191.45,NYSE,1432,190,"$272,080",190,190.24,Sweep
2021-04-01 15:55:15,191.45,NYSE,1955,190.15,"$371,743",190.25,190.58,Sweep
2021-04-01 15:55:15,191.45,NYSE,4800,190.15,"$912,720",190.16,190.31,Sweep
2021-04-01 15:57:17,191.45,Dark Pool,1250,190.34,"$237,925",190.28,190.4,
2021-04-01 15:58:03,191.45,Dark Pool,2500,190.105,"$475,262",190.01,190.2,
2021-04-01 15:59:23,191.45,Dark Pool,1439,189.806,"$273,131",189.8,190,
2021-04-01 15:59:46,191.45,Dark Pool,1250,190.692,"$238,365",190.4,190.7,
2021-04-01 15:59:58,191.45,NYSE,2350,190.67,"$448,074",190.5,190.68,
